Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Add Data User,Chrome 116.0.0.0,,,2023-09-27 08:55:54,2023-09-27 08:59:10,3m - 16.329s,PASSED
,,,,,,,
Test Cases/TCC01 Feature Login,Chrome 116.0.0.0,,,2023-09-27 08:55:56,2023-09-27 08:57:16,1m - 19.281s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-27 08:56:00,2023-09-27 08:56:34,34.741s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-27 08:56:34,2023-09-27 08:56:36,1.324s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 116.0.0.0,,,2023-09-27 08:56:36,2023-09-27 08:56:51,15.021s,PASSED
"setText(findTestObject(""Object Repository/loginPage_OrangeHRM/inputUsername""), Username)",Chrome 116.0.0.0,,,2023-09-27 08:56:51,2023-09-27 08:57:02,11.016s,PASSED
"setText(findTestObject(""loginPage_OrangeHRM/inputPassword""), Password)",Chrome 116.0.0.0,,,2023-09-27 08:57:02,2023-09-27 08:57:04,1.886s,PASSED
"click(findTestObject(""Object Repository/loginPage_OrangeHRM/btn_Login""))",Chrome 116.0.0.0,,,2023-09-27 08:57:04,2023-09-27 08:57:08,4.281s,PASSED
delay(2),Chrome 116.0.0.0,,,2023-09-27 08:57:08,2023-09-27 08:57:10,2.358s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-27 08:57:10,2023-09-27 08:57:16,5.274s,PASSED
,,,,,,,
Test Cases/TCC01 Feature Login,Chrome 116.0.0.0,,,2023-09-27 08:57:16,2023-09-27 08:57:45,28.158s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-27 08:57:17,2023-09-27 08:57:24,7.670s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-27 08:57:24,2023-09-27 08:57:25,0.533s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 116.0.0.0,,,2023-09-27 08:57:25,2023-09-27 08:57:34,9.368s,PASSED
"setText(findTestObject(""Object Repository/loginPage_OrangeHRM/inputUsername""), Username)",Chrome 116.0.0.0,,,2023-09-27 08:57:34,2023-09-27 08:57:37,3.254s,PASSED
"setText(findTestObject(""loginPage_OrangeHRM/inputPassword""), Password)",Chrome 116.0.0.0,,,2023-09-27 08:57:37,2023-09-27 08:57:39,1.600s,PASSED
"click(findTestObject(""Object Repository/loginPage_OrangeHRM/btn_Login""))",Chrome 116.0.0.0,,,2023-09-27 08:57:39,2023-09-27 08:57:41,1.985s,PASSED
delay(2),Chrome 116.0.0.0,,,2023-09-27 08:57:41,2023-09-27 08:57:43,2.012s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-27 08:57:43,2023-09-27 08:57:45,1.648s,PASSED
,,,,,,,
Test Cases/TCC02 Feature Admin,Chrome 116.0.0.0,,,2023-09-27 08:57:45,2023-09-27 08:59:10,1m - 25.403s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-27 08:57:46,2023-09-27 08:57:51,5.312s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-09-27 08:57:51,2023-09-27 08:57:52,0.572s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 116.0.0.0,,,2023-09-27 08:57:52,2023-09-27 08:58:03,11.077s,PASSED
"setText(findTestObject(""Object Repository/loginPage_OrangeHRM/inputUsername""), ""Admin"")",Chrome 116.0.0.0,,,2023-09-27 08:58:03,2023-09-27 08:58:06,3.135s,PASSED
"setEncryptedText(findTestObject(""loginPage_OrangeHRM/inputPassword""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 116.0.0.0,,,2023-09-27 08:58:06,2023-09-27 08:58:07,1.221s,PASSED
"click(findTestObject(""Object Repository/loginPage_OrangeHRM/btn_Login""))",Chrome 116.0.0.0,,,2023-09-27 08:58:07,2023-09-27 08:58:08,0.763s,PASSED
delay(2),Chrome 116.0.0.0,,,2023-09-27 08:58:08,2023-09-27 08:58:10,2.016s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/img""))",Chrome 116.0.0.0,,,2023-09-27 08:58:10,2023-09-27 08:58:18,8.245s,PASSED
"click(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/menuAdmin""))",Chrome 116.0.0.0,,,2023-09-27 08:58:18,2023-09-27 08:58:22,3.787s,PASSED
"click(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/button_Add""))",Chrome 116.0.0.0,,,2023-09-27 08:58:22,2023-09-27 08:58:26,3.846s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/btnCombo_UserRole""))",Chrome 116.0.0.0,,,2023-09-27 08:58:26,2023-09-27 08:58:28,1.821s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/div_Admin""))",Chrome 116.0.0.0,,,2023-09-27 08:58:28,2023-09-27 08:58:29,0.983s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/btnCombo_Status""))",Chrome 116.0.0.0,,,2023-09-27 08:58:29,2023-09-27 08:58:30,0.865s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/div_Enabled""))",Chrome 116.0.0.0,,,2023-09-27 08:58:30,2023-09-27 08:58:31,0.796s,PASSED
"setText(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/txtEmployeeName""), ""Lisa  Andrews"")",Chrome 116.0.0.0,,,2023-09-27 08:58:31,2023-09-27 08:58:32,1.526s,PASSED
delay(2),Chrome 116.0.0.0,,,2023-09-27 08:58:32,2023-09-27 08:58:34,2.005s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/div_Lisa  Andrews""))",Chrome 116.0.0.0,,,2023-09-27 08:58:34,2023-09-27 08:58:35,1.068s,PASSED
"setText(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/txtUsername""), ""Fulanah"")",Chrome 116.0.0.0,,,2023-09-27 08:58:35,2023-09-27 08:58:37,1.864s,PASSED
"setEncryptedText(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/txtPassword""), ""5wDvdGfyrpt1xtujkDV8bA=="")",Chrome 116.0.0.0,,,2023-09-27 08:58:37,2023-09-27 08:58:39,1.689s,PASSED
"setEncryptedText(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/txtConfirmPassword""), ""5wDvdGfyrpt1xtujkDV8bA=="")",Chrome 116.0.0.0,,,2023-09-27 08:58:39,2023-09-27 08:58:40,1.466s,PASSED
"click(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/button_Save""))",Chrome 116.0.0.0,,,2023-09-27 08:58:40,2023-09-27 08:58:41,0.798s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-27 08:58:41,2023-09-27 08:58:44,3.005s,PASSED
"setText(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/input_Username_oxd-input oxd-input--focus_1""), ""Fulanah"")",Chrome 116.0.0.0,,,2023-09-27 08:58:44,2023-09-27 08:58:50,6.186s,PASSED
"click(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/i_-- Select --_oxd-icon bi-caret-up-fill ox_627fec_1""))",Chrome 116.0.0.0,,,2023-09-27 08:58:50,2023-09-27 08:58:51,0.898s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/Page_OrangeHRM/div_Admin""))",Chrome 116.0.0.0,,,2023-09-27 08:58:51,2023-09-27 08:58:52,0.837s,PASSED
"setText(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/Page_OrangeHRM/input""), ""Lisa  Andrews"")",Chrome 116.0.0.0,,,2023-09-27 08:58:52,2023-09-27 08:58:53,1.356s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-27 08:58:53,2023-09-27 08:58:56,3.006s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/Page_OrangeHRM/div_Lisa  Andrews""))",Chrome 116.0.0.0,,,2023-09-27 08:58:56,2023-09-27 08:58:57,0.829s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/Page_OrangeHRM/div_-- Select --""))",Chrome 116.0.0.0,,,2023-09-27 08:58:57,2023-09-27 08:58:58,0.993s,PASSED
"click(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/Page_OrangeHRM/div_Enabled""))",Chrome 116.0.0.0,,,2023-09-27 08:58:58,2023-09-27 08:58:59,1.222s,PASSED
"click(findTestObject(""Object Repository/Home_OrangeHRM/Page_OrangeHRM/button_Search""))",Chrome 116.0.0.0,,,2023-09-27 08:58:59,2023-09-27 08:59:00,0.769s,PASSED
"scrollToPosition(100, 200)",Chrome 116.0.0.0,,,2023-09-27 08:59:00,2023-09-27 08:59:00,0.184s,PASSED
delay(5),Chrome 116.0.0.0,,,2023-09-27 08:59:00,2023-09-27 08:59:05,5.003s,PASSED
"verifyElementText(findTestObject(""Home_OrangeHRM/Page_OrangeHRM/verifyName""), ""Fulanah"")",Chrome 116.0.0.0,,,2023-09-27 08:59:05,2023-09-27 08:59:06,0.842s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-27 08:59:06,2023-09-27 08:59:10,3.955s,PASSED
